"reclong","reclat"
6.08333,50.775
10.23333,56.18333
-113,54.21667
-99.9,16.88333
-64.95,-33.16667
71.8,32.1
95.16667,44.83333
0.61667,44.21667
-65.23333,-31.6
-64.55,-30.86667
-9.57028,16.39806
8.38333,19.08333
2.33333,50.66667
35.05,29.51667
77.95,29.71667
8.43333,8.91667
42.81667,39.91667
39.51667,24.41667
28.96,13.66033
4.08333,44.11667
11.01667,44.65
22.66667,2
6.01533,45.82133
-1.78333,51.78333
37.13333,36.23333
8.75,44.88333
31.81667,50.95
10.15,45.26667
-85.88333,42.53333
-105.31667,26.96667
32.41275,20.74575
44.21556,35.27333
78.25,27.66667
85.56667,26.58333
-70.75,44.61667
37.5,48.7
76.86667,20.88333
0,0
-0.55,47.46667
-44.31667,-22.96667
39.71667,9.53333
105.18333,25.15
140.78556,40.81056
-2.71667,53.58333
5.38333,43.86667
-66,-33
-94.3,38.5
-60.66667,-31.41667
9.03333,42.45
-97.01,31.805
0.3,52.05
12.55,43.03333
80.625,25.25417
-103.66667,20.06667
-87,34.75
-96.15,34.31667
5.16667,44.38333
3.66667,36.16667
3.23333,44.33333
0.58333,43.08333
-49.95083,-21.46028
13.5,46
-103.5,25
32.83333,2.71667
-108,36.8
38,48.6
78.5,28.48333
-82.48333,35.96667
-88.66667,34.5
16.38333,5.38333
101.18333,16.66667
107.6,-6.91667
76.33333,27.7
78.2,30.4
106,-6.33333
-0.05,43.95
2.16667,41.36667
-2.5,42.38333
84.08333,52.73333
9.1,52
76.8,31.61667
-1.33972,52.56528
-5.9,15.78333
20.93583,52.03333
-98.31667,45.41667
-83.75,38.25
-117.18913,40.66813
-0.18333,11.08333
-93.5,36.75
-101.2,39.8
-117.33333,51.16667
-4.1,53.01667
-96.46667,33.6
-64.86667,-32.33333
82.91667,25.36667
-8.15,32.25
10.8,32.86667
-89.15,39.08333
28.41667,-26.16667
-7,30
-67.55,45.95
-58.32833,-31.91
-3.65,11.65
-3.8,41.68333
-105.02325,40.30583
-73.83333,42.53333
-0.23333,43.21667
35.5,33.88333
74.83333,20.88333
73.11528,26.50833
71.46667,20.83333
90.65,22.68333
86.9,22.08333
23.2,53.1
27.16667,50.13333
-0.08333,12.45
115.67639,-33.15639
5.3,13.76667
-80.28333,34.16667
82.6,25.38333
30.16667,49.78333
25.8,60.4
-78.08333,40.91667
-97.33333,36.83333
-98.83333,31.83333
16.63333,49.36667
-89.00417,40.48
115.83333,33.83333
-102,23
0.7,12.5
131.63333,44.55
10.05,44.86667
78.03333,21.95
52.48333,54.23333
24.28333,48.15
35.86667,55.46667
33.88333,51.33333
-11.3715,17.71067
-11.34133,17.17493
-6.33333,54.56667
-80.08333,40.5
16.3,50.6
8.18361,50.66694
9.1,53.4
59.31667,52.13333
-112.88333,53.9
64.60035,39.77978
NA,NA
129.19,-31.35
9.58333,10.01667
48,5
-82.23722,37.62194
29.23333,40.2
25.78333,46.45
82.83333,26.78333
84.08333,27.08333
-109.84817,52.996
-1.16667,37.98333
-93.5,35.5
20.33333,43.83889
-76.51,3.405
122.33333,11.75
-40.16667,-7.03333
26.6,39.8
1.66667,41.25
-5.15,43.38333
-105.24139,38.47028
-89.58333,37.26667
-64.55,-30.88333
-69.04389,-16.66444
27,38.5
-78.06667,36.08333
11.5,43.35
-68.75,44.38333
16.2,39.8
-79.25,36.5
-105.23333,26.46667
-96.91667,43.2
8.3,45.08333
109.31667,28.53333
81.66667,25.36667
83.48333,25.85
-58.05,-30.78333
76.01667,20.26667
79.05,27.28333
111.75,29.08333
1.05,46.68333
-87.33333,36.16667
1.56667,47.93333
75.5,29.48333
5.36667,47.71667
2.91667,47.93333
-7.46667,41.93333
32.5,-3.66667
61.11667,54.81667
-5.01472,23.69639
30.1,53.7
-81.88333,35.03333
6.81667,46.55
34,50.83333
76.5,14.5
101.63333,17.9
-79.73333,40.93333
33.395,-10.05944
13.96667,-17.35
0.97667,47.47083
108.1,-6.95
-81.87278,32.1025
NA,NA
-90.28333,44.9
19.38333,-33.13333
-84.50778,43.76111
12.61667,42.53333
-47.55,-19.85
-100.86667,21.16667
76.26667,10.2
-97.58333,35.95
27.3,-27.7
-78.13333,35.63333
-6.21667,54.61667
-84.35,36.83333
-84.25,38.4
8.83333,35.61667
83.96667,26.91667
24.56667,-28.2
-87.06667,34.4
8.65,49.86667
59.685,41.98444
-79.95756,-1.87089
-80,43
-74,40.25
77.25,28.56667
84.76667,51.46667
-104.93056,39.7825
93.86667,26.68333
73.61667,25.73333
81,19
76.525,24.225
71.42722,22.37778
75.6,14.88333
76.46667,32.23333
27.32997,37.35172
18.56667,-33.75
-60.46667,-31.88333
111.5,-7.5
15.05,12.73333
9.55,36.95
90.33333,23.5
25.3,50.75
29,40
119.03333,45.5
82.45,21.86667
120.78333,32.91667
112.3,51.2
3.16667,13.05
-6.3,32.33333
33.91667,-13.66667
-86.5,36.4
-82.26,42.52
18.44167,42.45833
152.83333,-31.66667
-8.03333,52.55
128.25,43.33333
76.63333,30.3
39.5,-4
127.26667,33.43333
31.31667,-27.2
82,26.25
151,-3
-96.47167,40.78167
15.83333,-17.3
11.21667,48.9
13,56.03333
78.78333,28.26667
3.25,34.41667
-97.37,25.37
-103.05167,19.96722
-104.58817,39.24667
12.73333,50.18333
37.66667,47.83333
4,51.75
151.61667,-29.46667
109.5,30.3
7.35,47.86667
6.46667,48.18333
81.89167,19.03333
44.5,40.3
44.16667,1.16667
11.25,52.21667
-1.1,46.25
30.83333,2.88333
-94.83333,43.41667
-97.03333,39.75
-77.53333,35.55
2.81667,44.38333
-94.16667,36.05
8.45,36.88333
-87.16667,32.53333
116.75,34.6
-81.41667,36.1
13.75333,43.18111
-96.85,47.81667
-97.76667,30.83333
-93.66667,43.25
146.85833,-33.35
-78.08333,36.78333
7.31667,50.95
-83.96667,33.01667
7,28.25
-87.83333,34.48333
113.56694,31.47556
130.2,33.18333
10.33333,55.33333
80.81667,25.95
115.9,32.9
0.4,44.3
12.43333,7.05
12.43333,7.05
30.78333,51.68333
68.53333,27.35
-2.18333,11.65
68.53333,27.88333
-112.13333,41.68333
11.03333,12.85
-2.04167,14.15083
11.91667,12.91667
136.88333,35.53333
13.56667,37.31667
9.91667,9.6
6.86667,52.2
107.7,-7.25
37.61667,57.35
-0.3,52.45972
16.76667,50.66667
89.05,24.23333
38.08333,48.28333
2.25,42.9
11,60.66667
-79.61667,43.2
45.38333,43.66667
18.71667,49.26667
30.58333,46.35
15.5,51.93333
16.63333,52.86667
-58.61667,-33
122.76389,39.80417
105,24.1
118.4,37.1
-6.01667,38.73333
20.23333,43.76667
-0.68333,13.5
13.98333,9.91667
76.05,22.98333
11.65833,11.49167
24.7,42.9
78.56667,13.78333
42.41667,9.36667
8.38333,51.91667
127.5,35
139.33333,35.65
3.73333,50.31667
16.23333,57.81667
-86.6,41.38333
82.53333,26.8
75.78333,28.38333
-94.51167,32.675
-86.16667,38.25
136.70033,35.2945
0.81667,28.95
-1.51667,51.65
22.06194,60.24556
13.78333,55.46667
35.66667,27.33333
-84.1,10
17.66667,59.85
130.43333,33.6
-4.23333,55.9
132.38333,34.45
31.47278,1.345
21.2,64.43333
-110.18333,34.9
38.41667,9.06667
-91.86667,41.8
-157.86667,21.3
115.5,35.66667
-100.45,39.35
16.33333,46.1
106.63241,26.46469
8.91667,50.3
22.68333,61.18333
7.7,52.28333
-45,-20
35,38
82.93333,58.2
28.33333,-32.1
-51.83333,-23.2
145.36667,-6.03333
46.66667,39.75
-94.4,39.08333
112,41
-111.3375,53.415
-54.5,-25.5
33.8,-8.93333
-57.95,-31.18333
-44.33333,-3.4
-12.95217,26.59083
32.43333,-8.41667
21.9,-32.5
68.41667,26.75
NA,NA
75,31
75.33333,18.75
105.8,39.7
20.44167,43.83333
NA,NA
14.05217,46.42137
72.38333,31.3
104.91667,31.91667
109.5,30.80833
126.16667,44.05
70.31333,22.68
24.4,55.7
-104.9,40.35
15.83333,-11.85
-0.45,45.43333
115.41667,35.5
76.8,12.85
111.2,-7.71667
118.8,35.2
-7.27,38.74028
4.3,44.71667
21.3,47.35
8.21667,11.85
78.33333,27.08333
79.96667,27.25
30.83333,49.86667
48.3,15
53.25,55.43333
78.51667,12.38333
21.66667,45.13333
29.5,-6.83333
73.98333,17.83333
81.46667,26.03333
139.95667,36.04167
75.8,14.18333
65.78333,31.6
115.5,-7
76.3,32.08333
33.63333,4.7
73.22329,20.33916
73.36667,42.45
81.01667,47.21667
35.58333,-3.5
7.15,12.9
67.16667,27.8
71.6,31.58333
139.91667,-35.08333
136.76667,35.36667
77.58333,29.58333
10.08333,11.33333
75.81333,25.14333
31.78,39.26333
112.01667,-7.75
29.41822,36.54194
-96,29.45
86.70278,20.4625
-3.3,48.4
-3.08333,48.11667
141.61667,38.98333
72.3,29.53333
83.11667,25.55
35.075,50.625
77.88333,26.95
75.81667,28.01667
75.33333,56.75
81.53333,25.1
36,16
28,14
10.15,54.4
-11.33333,16.58333
138.38333,36.85
34,55
9.8,12.76667
-89.6,43.58333
-7.66667,54.66667
24.68333,11.63333
-95.95,30.75
22.30833,48.16667
-80.38333,43.38333
10.8,51.6
22.4,48.9
135.16667,34.73333
133.95,34.3
139.75,35.73333
26.16667,42.51667
21.17633,48.76367
7.46472,49.32694
40.9,54.03333
56.08333,54.33333
77,56.8
30.76667,47.83333
31.7,51.15
66.80222,30.73111
33.5,50.75
45,41.11667
61.36667,55.78333
59.2,42.25
138.38333,37.05
78.38333,29.68333
39.3,44.51667
76.03333,10.83333
75.33333,55.2
130.63333,32.03333
1.75,47.08333
-101.28333,20.66667
-61.53333,-37.33333
-58.16667,-31.23333
5.58333,44.28333
82.71667,26.78333
0.63333,48.76667
NA,NA
76.03333,21.86667
78.56667,24.45
1.06667,47.7
5.11667,43.75
16.73333,58.85
126.19611,46.24167
16.23333,47.75
115.16667,33.13333
-1.11667,51.9
51.56667,52.45
0.43333,47.16667
-0.86667,48.53333
-99.33333,35.88333
28.36667,-25.66667
-6.96667,52.66667
